[2026-06-23 16:11:43] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 98ms
[2026-06-23 16:12:51] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:12:51] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: GET | Path: /Setup | Status: 302 | Time: 2ms
[2026-06-23 16:12:51] IP: 127.0.0.1 | User: testuser_1782231167@hotel.local (User) | Method: GET | Path: /Account/AccessDenied?ReturnUrl=%2FSetup | Status: 404 | Time: 1ms
[2026-06-23 16:13:57] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 103ms
[2026-06-23 16:13:57] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:13:58] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (User) | Method: POST | Path: /Account/Register | Status: 302 | Time: 139ms
[2026-06-23 16:13:58] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (User) | Method: GET | Path: / | Status: 200 | Time: 105ms
[2026-06-23 16:13:58] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:01] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (User) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 7ms
[2026-06-23 16:14:01] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 5ms
[2026-06-23 16:14:01] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:02] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 15ms
[2026-06-23 16:14:02] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:02] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 55ms
[2026-06-23 16:14:02] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:14:02] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:04] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 28ms
[2026-06-23 16:14:04] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:04] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Setup/UpdateUserRole | Status: 302 | Time: 17ms
[2026-06-23 16:14:04] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 2ms
[2026-06-23 16:14:04] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:06] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 0ms
[2026-06-23 16:14:06] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 9ms
[2026-06-23 16:14:06] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:07] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 3ms
[2026-06-23 16:14:07] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:07] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 52ms
[2026-06-23 16:14:07] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 1ms
[2026-06-23 16:14:07] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:09] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (Admin) | Method: GET | Path: /hoteli/create | Status: 200 | Time: 32ms
[2026-06-23 16:14:09] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:10] IP: 127.0.0.1 | User: testuser_1782231237@hotel.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 0ms
[2026-06-23 16:14:10] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 2ms
[2026-06-23 16:14:10] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:14:12] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /hoteli | Status: 200 | Time: 18ms
[2026-06-23 16:14:12] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:09] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 96ms
[2026-06-23 16:15:09] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:11] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (User) | Method: POST | Path: /Account/Register | Status: 302 | Time: 189ms
[2026-06-23 16:15:11] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (User) | Method: GET | Path: / | Status: 200 | Time: 106ms
[2026-06-23 16:15:11] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:14] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (User) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 6ms
[2026-06-23 16:15:14] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 4ms
[2026-06-23 16:15:14] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:15] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 20ms
[2026-06-23 16:15:15] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:15] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 59ms
[2026-06-23 16:15:15] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:15:15] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:17] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 15ms
[2026-06-23 16:15:17] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:17] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Setup/UpdateUserRole | Status: 302 | Time: 29ms
[2026-06-23 16:15:17] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 4ms
[2026-06-23 16:15:17] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:19] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 1ms
[2026-06-23 16:15:19] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 2ms
[2026-06-23 16:15:19] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:20] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 1ms
[2026-06-23 16:15:20] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:20] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 49ms
[2026-06-23 16:15:20] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 1ms
[2026-06-23 16:15:20] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:22] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (Admin) | Method: GET | Path: /hoteli/create | Status: 200 | Time: 34ms
[2026-06-23 16:15:22] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:23] IP: 127.0.0.1 | User: testuser_1782231310@hotel.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 1ms
[2026-06-23 16:15:23] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:15:23] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:25] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /hoteli | Status: 200 | Time: 28ms
[2026-06-23 16:15:25] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:44] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 114ms
[2026-06-23 16:15:44] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:46] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (User) | Method: POST | Path: /Account/Register | Status: 302 | Time: 147ms
[2026-06-23 16:15:46] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (User) | Method: GET | Path: / | Status: 200 | Time: 104ms
[2026-06-23 16:15:46] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:48] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (User) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 6ms
[2026-06-23 16:15:48] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 5ms
[2026-06-23 16:15:48] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:49] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 23ms
[2026-06-23 16:15:49] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:49] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 57ms
[2026-06-23 16:15:49] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:15:49] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:51] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 22ms
[2026-06-23 16:15:51] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:51] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Setup/UpdateUserRole | Status: 302 | Time: 22ms
[2026-06-23 16:15:51] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 3ms
[2026-06-23 16:15:51] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:53] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 0ms
[2026-06-23 16:15:53] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:15:53] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:54] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 5ms
[2026-06-23 16:15:54] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:55] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 54ms
[2026-06-23 16:15:55] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 1ms
[2026-06-23 16:15:55] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:57] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (Admin) | Method: GET | Path: /hoteli/create | Status: 200 | Time: 21ms
[2026-06-23 16:15:57] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:15:58] IP: 127.0.0.1 | User: testuser_1782231344@hotel.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 0ms
[2026-06-23 16:15:58] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:15:58] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:16:00] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /hoteli | Status: 200 | Time: 24ms
[2026-06-23 16:16:00] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:16:57] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Register | Status: 200 | Time: 97ms
[2026-06-23 16:16:57] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:16:59] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (User) | Method: POST | Path: /Account/Register | Status: 302 | Time: 140ms
[2026-06-23 16:16:59] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (User) | Method: GET | Path: / | Status: 200 | Time: 106ms
[2026-06-23 16:16:59] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:01] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (User) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 6ms
[2026-06-23 16:17:01] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 5ms
[2026-06-23 16:17:01] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:03] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 22ms
[2026-06-23 16:17:03] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:03] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 57ms
[2026-06-23 16:17:03] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:17:03] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:05] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 26ms
[2026-06-23 16:17:05] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:05] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Setup/UpdateUserRole | Status: 302 | Time: 18ms
[2026-06-23 16:17:05] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Setup | Status: 200 | Time: 2ms
[2026-06-23 16:17:05] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:07] IP: 127.0.0.1 | User: admin@hotelmanager.local (Admin) | Method: POST | Path: /Account/Logout | Status: 302 | Time: 0ms
[2026-06-23 16:17:07] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 3ms
[2026-06-23 16:17:07] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:08] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 3ms
[2026-06-23 16:17:08] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:08] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: POST | Path: /Account/Login | Status: 302 | Time: 50ms
[2026-06-23 16:17:08] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: / | Status: 200 | Time: 1ms
[2026-06-23 16:17:08] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:10] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /hoteli/create | Status: 200 | Time: 35ms
[2026-06-23 16:17:10] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:10] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: POST | Path: /hoteli/create | Status: 302 | Time: 27ms
[2026-06-23 16:17:10] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /hoteli | Status: 200 | Time: 11ms
[2026-06-23 16:17:10] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:17:12] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /hoteli | Status: 200 | Time: 3ms
[2026-06-23 16:17:12] IP: 127.0.0.1 | User: testuser_1782231418@hotel.local (Admin) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:18:07] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 187ms
[2026-06-23 16:18:07] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:18:15] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /api/search?q=Ho | Status: 200 | Time: 96ms
[2026-06-23 16:18:15] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /api/search?q=Hote | Status: 200 | Time: 2ms
[2026-06-23 16:18:19] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /hoteli/1 | Status: 200 | Time: 74ms
[2026-06-23 16:18:19] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:18:19] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /hoteli/1/attachments | Status: 200 | Time: 15ms
[2026-06-23 16:18:22] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /ai-assistant | Status: 200 | Time: 15ms
[2026-06-23 16:18:22] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:18:35] IP: ::1 | User: Anonymous (Guest) | Method: POST | Path: /api/ai/parse | Status: 200 | Time: 95ms
[2026-06-23 16:19:02] IP: ::1 | User: Anonymous (Guest) | Method: POST | Path: /api/ai/parse | Status: 200 | Time: 17ms
[2026-06-23 16:20:22] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /hoteli | Status: 200 | Time: 46ms
[2026-06-23 16:20:22] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:20:27] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Account/Login | Status: 200 | Time: 36ms
[2026-06-23 16:20:27] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:20:28] IP: ::1 | User: Anonymous (Guest) | Method: GET | Path: /Account/ExternalLogin?provider=Google | Status: 302 | Time: 8ms
[2026-06-23 16:20:33] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: /Account/ExternalLoginCallback | Status: 302 | Time: 79ms
[2026-06-23 16:20:33] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: / | Status: 200 | Time: 6ms
[2026-06-23 16:20:33] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:20:39] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: /ai-assistant | Status: 200 | Time: 3ms
[2026-06-23 16:20:39] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
[2026-06-23 16:21:02] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: / | Status: 200 | Time: 22ms
[2026-06-23 16:21:02] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 1ms
[2026-06-23 16:21:40] IP: 127.0.0.1 | User: Anonymous (Guest) | Method: GET | Path: /api/search?q=hotel | Status: 200 | Time: 12ms
[2026-06-23 16:21:49] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: / | Status: 200 | Time: 8ms
[2026-06-23 16:21:49] IP: ::1 | User: yakij.ivancek1@gmail.com (User) | Method: GET | Path: /Hotel-Mgt.Web.styles.css | Status: 404 | Time: 0ms
